GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"concordia.soen6011.team3.ttt.junit (30 May, 2016 3:38:36 PM)/SOEN6011/src",concordia.soen6011.team3.ttt.junit,TTTBoardTest,0,178,0,0,0,33,0,5,0,5
"concordia.soen6011.team3.ttt.junit (30 May, 2016 3:38:36 PM)/SOEN6011/src",concordia.soen6011.team3.ttt.junit,AllTests,3,0,0,0,1,0,1,0,1,0
"concordia.soen6011.team3.ttt.junit (30 May, 2016 3:38:36 PM)/SOEN6011/src",concordia.soen6011.team3.ttt.junit,TTTMenuBarTest,0,128,0,2,0,18,0,5,0,4
"concordia.soen6011.team3.ttt.junit (30 May, 2016 3:38:36 PM)/SOEN6011/src",concordia.soen6011.team3.ttt.junit,TTTGameElementTest,0,205,0,0,0,44,0,5,0,5
"concordia.soen6011.team3.ttt.junit (30 May, 2016 3:38:36 PM)/SOEN6011/src",concordia.soen6011.team3.ttt.main,TTTMain,21,0,0,0,8,0,3,0,3,0
"concordia.soen6011.team3.ttt.junit (30 May, 2016 3:38:36 PM)/SOEN6011/src",concordia.soen6011.team3.ttt.main,TTTMain.new Runnable() {...},5,0,0,0,4,0,2,0,2,0
"concordia.soen6011.team3.ttt.junit (30 May, 2016 3:38:36 PM)/SOEN6011/src",concordia.soen6011.team3.ttt.ui.images,ImagePath,3,0,0,0,1,0,1,0,1,0
"concordia.soen6011.team3.ttt.junit (30 May, 2016 3:38:36 PM)/SOEN6011/src",concordia.soen6011.team3.ttt.object,TTTGameElement,15,17,0,0,7,7,5,5,5,5
"concordia.soen6011.team3.ttt.junit (30 May, 2016 3:38:36 PM)/SOEN6011/src",concordia.soen6011.team3.ttt.object,TTTBoard,121,173,7,19,20,44,7,18,3,9
"concordia.soen6011.team3.ttt.junit (30 May, 2016 3:38:36 PM)/SOEN6011/src",concordia.soen6011.team3.ttt.object,TTTSquare,98,47,4,0,23,16,8,4,6,4
"concordia.soen6011.team3.ttt.junit (30 May, 2016 3:38:36 PM)/SOEN6011/src",concordia.soen6011.team3.ttt.object,TTTSymbol,345,49,16,0,36,14,12,4,4,4
"concordia.soen6011.team3.ttt.junit (30 May, 2016 3:38:36 PM)/SOEN6011/src",concordia.soen6011.team3.ttt.ui,TTTFrame,8,119,1,1,3,30,2,6,1,6
"concordia.soen6011.team3.ttt.junit (30 May, 2016 3:38:36 PM)/SOEN6011/src",concordia.soen6011.team3.ttt.ui,TTTFrame.new WindowAdapter() {...},28,6,2,0,5,2,2,1,1,1
"concordia.soen6011.team3.ttt.junit (30 May, 2016 3:38:36 PM)/SOEN6011/src",concordia.soen6011.team3.ttt.ui,TTTCanvas,16,24,0,0,5,7,1,1,1,1
"concordia.soen6011.team3.ttt.junit (30 May, 2016 3:38:36 PM)/SOEN6011/src",concordia.soen6011.team3.ttt.ui,TTTMenuBar,41,156,6,0,15,34,4,2,1,2
"concordia.soen6011.team3.ttt.junit (30 May, 2016 3:38:36 PM)/SOEN6011/src",concordia.soen6011.team3.ttt.listener,AddSymbolMouseListener,197,6,22,0,34,3,18,1,7,1
